iso_formula,iso_slug,inchi,inchikey,mass_in_Da,name,version,doi,max_temperature,num_pressure_broadeners,nxsec_files,nkcoeff_files,dipole_available,cooling_function_available,specific_heat_available,continuum,hyperfine_resolved_dataset
(52Cr)(1H),52Cr-1H,InChI=1S/Cr.H/i2*1+0,SEGIELJIHJYODU-MHGBRSHDSA-N,52.94833253,MoLLIST,20160726,10.5281/zenodo.5362927,3000.0,0,0,0,False,False,False,False,False
(12C)(32S),12C-32S,"InChI=1S/CS/c1-2/i1+0,2+0",DXHPZXWIPWDXHJ-ZCWHFVSRSA-N,43.972071,JnK,20160726,10.5281/zenodo.5716944,3000.0,2,18,0,False,False,True,False,False
(12C)(33S),12C-33S,"InChI=1S/CS/c1-2/i1+0,2+1",DXHPZXWIPWDXHJ-DZEMCFCNSA-N,44.97145876,JnK,20160726,10.5281/zenodo.5716946,3000.0,0,0,0,False,False,False,False,False
(12C)(34S),12C-34S,"InChI=1S/CS/c1-2/q-2/i1+0,2+2",YMMCOVNCWDLXSA-FNPQUGRCSA-N,45.96896406,JnK,20160726,10.5281/zenodo.5716948,3000.0,0,0,0,False,False,False,False,False
(12C)(36S),12C-36S,"InChI=1S/CS/c1-2/i1+0,2+4",DXHPZXWIPWDXHJ-NYQHGNFPSA-N,47.96708076,JnK,20160726,10.5281/zenodo.5716950,3000.0,0,0,0,False,False,False,False,False
(13C)(32S),13C-32S,"InChI=1S/CS/c1-2/i1+1,2+0",DXHPZXWIPWDXHJ-CRWWGTSDSA-N,44.97542584,JnK,20160726,10.5281/zenodo.5716952,3000.0,0,0,0,False,False,False,False,False
(13C)(33S),13C-33S,"InChI=1S/CS/c1-2/i1+1,2+1",DXHPZXWIPWDXHJ-ZDOIIHCHSA-N,45.9748136,JnK,20160726,10.5281/zenodo.5716954,3000.0,0,0,0,False,False,False,False,False
(13C)(34S),13C-34S,"InChI=1S/CS/c1-2/i1+1,2+2",DXHPZXWIPWDXHJ-RGIGPVFXSA-N,46.97122174,JnK,20160726,10.5281/zenodo.5716956,3000.0,0,0,0,False,False,False,False,False
(13C)(36S),13C-36S,"InChI=1S/CS/c1-2/i1+1,2+4",DXHPZXWIPWDXHJ-JOTDZXCOSA-N,48.9704356,JnK,20160726,10.5281/zenodo.5716958,3000.0,0,0,0,False,False,False,False,False
(56Fe)(1H),56Fe-1H,InChI=1S/Fe.H/i2*1+0,VWDRTGQNZKYVEZ-MHGBRSHDSA-N,56.94276253,MoLLIST,20160726,10.5281/zenodo.5362929,8000.0,0,0,0,False,False,False,False,False
(1H)(2H),1H-2H,InChI=1S/H2/h1H/i1+1H,UFHFLCQGNIYNRP-YPBGMLPISA-N,3.02192681,ADJSAAM,20190626,10.3847/1538-4357/ab1f65,9000.0,0,0,0,False,False,False,False,False
(1H)2,1H2,InChI=1S/H2/h1H,UFHFLCQGNIYNRP-UHFFFAOYSA-N,2.01565006,ARLR,20230905,10.1139/p94-112,10000.0,0,0,0,False,False,False,False,False
(1H)2,1H2,InChI=1S/H2/h1H,UFHFLCQGNIYNRP-UHFFFAOYSA-N,2.01565006,RACPPK,20230826,10.1139/p94-112,10000.0,0,0,0,False,False,True,False,False
(1H)2(12C)(16O),1H2-12C-16O,InChI=1S/CH2O/c1-2/h1H2,WSFSSNUMVMOOMR-UHFFFAOYSA-N,30.01056468,AYTY,20230430,10.5281/zenodo.5716868,3000.0,0,0,0,False,False,True,False,False
(1H)2(12C)(32S),1H2-12C-32S,InChI=1S/CH2S/c1-2/h1H2,DBTDEFJAFBUGPP-UHFFFAOYSA-N,45.98772106,MOTY,20221231,10.1093/mnras/stad111,2000.0,0,0,0,False,False,False,False,False
(1H)(2H)(16O),1H-2H-16O,InChI=1S/H2O/h1H2/i/hD,XLYOFNOQVPJJNP-DYCDLGHISA-N,19.01684143,VTT,20160726,10.5281/zenodo.5716812,3000.0,0,0,0,False,False,False,False,False
(1H)2(15O),1H2-15O,InChI=1S/H2O/h1H2/i1-1,XLYOFNOQVPJJNP-BJUDXGSMSA-N,17.01871566,VoTe-15,20231030,10.1016/j.saa.2024.124007,1000.0,0,0,0,False,False,False,False,False
(1H)2(16O),1H2-16O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,18.01056468,POKAZATEL,20230621,10.1093/mnras/sty1877,6000.0,4,0,0,False,False,True,False,False
(1H)2(17O),1H2-17O,InChI=1S/H2O/h1H2/i1+1,XLYOFNOQVPJJNP-OUBTZVSYSA-N,19.01478176,HotWat78,20230919,10.5281/zenodo.5716820,3000.0,2,0,0,False,False,False,False,False
(1H)2(18O),1H2-18O,InChI=1S/H2O/h1H2/i1+2,XLYOFNOQVPJJNP-NJFSPNSNSA-N,20.01481106,HotWat78,20230919,10.5281/zenodo.5716822,3000.0,2,0,0,False,False,False,False,False
(1H)2(16O)2,1H2-16O2,InChI=1S/H2O2/c1-2/h1-2H,MHAJPDPJQMAIIY-UHFFFAOYSA-N,34.0054793,APTY,20160726,10.5281/zenodo.5716870,9000.0,0,0,0,False,False,True,False,False
(1H)2(32S),1H2-32S,InChI=1S/H2S/h1H2,RWSOTUBLDIXVET-UHFFFAOYSA-N,33.98772106,AYT2,20241204,10.5281/zenodo.5716826,1500.0,0,0,0,False,False,True,False,False
(1H)(2H)+,1H-2H_p,InChI=1S/H2/h1H/i1+1/q+1,UFHFLCQGNIYNRP-FPPRTSDESA-N,3.02137823,ADJSAAM,20200725,10.3847/1538-4357/ab1f65,9000.0,0,0,0,False,False,True,False,False
(1H)3(16O)+,1H3-16O_p,InChI=1S/H2O/h1H2/p+1,XLYOFNOQVPJJNP-UHFFFAOYSA-O,19.01784114,eXeL,20200707,10.1093/mnras/staa2034,1500.0,0,0,0,False,False,True,False,False
(1H)2(2H)+,1H2-2H_p,InChI=1S/H3/c1-2-3-1/i1+1/q+1,FVJJEQURJXHDEY-FPPRTSDESA-N,4.02920326,ST,20230123,10.1093/mnras/stx502,1750.0,0,0,0,False,False,False,False,False
(1H)3+,1H3_p,InChI=1S/H3/c1-2-3-1/q+1,RQZCXKHVAUFVMF-UHFFFAOYSA-N,3.02292652,MiZATeP,20230123,10.1093/mnras/stx502,5000.0,0,0,0,False,True,True,False,False
(2H)2(1H)+,2H2-1H_p,"InChI=1S/H3/c1-2-3-1/i1+1,2+1/q+1",FVJJEQURJXHDEY-BQFQGQKJSA-N,5.03548001,MiZo,20221221,10.1093/mnras/stx502,2000.0,0,0,0,False,False,False,False,False
(2H)3+,2H3_p,"InChI=1S/H3/c1-2-3-1/i1+1,2+1,3+1/q+1",FVJJEQURJXHDEY-PDOFMICISA-N,6.04175675,MiZo,20230124,10.1093/mnras/stx502,800.0,0,0,0,False,False,False,False,False
(1H)(10B)(16O),1H-10B-16O,"InChI=1S/BHO/c1-2/h1H/i1-1H,2+0",UXUFOKFTFHRQTE-DGVCANLMSA-N,27.01567665,LQL,20240522,10.1039/D3CP05997A,3000.0,0,0,0,False,False,False,False,False
